mot;syllabesOrales;decoupage;phonemeAttaque;frequence;competences;distracteursProches;aVerifier
chat;1;chat;ch;1;syl-compare;chien;non
chien;1;chien;ch;1;syl-compare;chat;non
loup;1;loup;l;1;syl-compare;;non
ours;1;ours;ou;2;syl-compare;;non
pain;1;pain;p;1;syl-compare;bain;non
bain;1;bain;b;2;syl-compare;pain;non
lit;1;lit;l;1;syl-compare;;non
main;1;main;m;1;syl-compare;pain|bain;non
pied;1;pied;p;1;syl-compare;;non
fleur;1;fleur;f;1;syl-compare;;non
train;1;train;t;1;syl-compare;pain;non
roi;1;roi;r;2;syl-compare;;non
œuf;1;œuf;œ;2;syl-compare;;non
singe;1;singe;s;2;syl-compare;;oui
pont;1;pont;p;2;syl-compare;pain;non
lapin;2;la-pin;l;1;syl-seg2|syl-fusion|syl-compare;sapin;non
sapin;2;sa-pin;s;1;syl-seg2|syl-fusion|syl-compare;lapin;non
bateau;2;ba-teau;b;1;syl-seg2|syl-fusion|syl-compare;gâteau|château;non
gâteau;2;gâ-teau;g;1;syl-seg2|syl-fusion|syl-compare;bateau|château;non
château;2;châ-teau;ch;1;syl-seg2|syl-fusion|syl-compare;bateau|gâteau|chapeau;non
chapeau;2;cha-peau;ch;1;syl-seg2|syl-fusion|syl-compare;drapeau|château;non
drapeau;2;dra-peau;d;2;syl-seg2|syl-fusion|syl-compare;chapeau;non
oiseau;2;oi-seau;oi;1;syl-seg2|syl-fusion|syl-compare;ciseaux;non
ciseaux;2;ci-seaux;s;2;syl-seg2|syl-fusion|syl-compare;oiseau;non
cadeau;2;ca-deau;k;1;syl-seg2|syl-fusion|syl-compare;gâteau;non
maison;2;mai-son;m;1;syl-seg2|syl-fusion|syl-compare;;non
souris;2;sou-ris;s;1;syl-seg2|syl-fusion|syl-compare;;non
cheval;2;che-val;ch;1;syl-seg2|syl-fusion|syl-compare;;oui
mouton;2;mou-ton;m;1;syl-seg2|syl-fusion|syl-compare;bouton;non
bouton;2;bou-ton;b;2;syl-seg2|syl-fusion|syl-compare;mouton;non
cochon;2;co-chon;k;1;syl-seg2|syl-fusion|syl-compare;;non
poussin;2;pou-ssin;p;1;syl-seg2|syl-fusion|syl-compare;coussin;non
coussin;2;cou-ssin;k;2;syl-seg2|syl-fusion|syl-compare;poussin;non
panier;2;pa-nier;p;2;syl-seg2|syl-fusion|syl-compare;;non
balai;2;ba-lai;b;2;syl-seg2|syl-fusion|syl-compare;ballon;non
tapis;2;ta-pis;t;1;syl-seg2|syl-fusion|syl-compare;;non
savon;2;sa-von;s;1;syl-seg2|syl-fusion|syl-compare;;non
canard;2;ca-nard;k;1;syl-seg2|syl-fusion|syl-compare;renard;non
renard;2;re-nard;r;1;syl-seg2|syl-fusion|syl-compare;canard;non
jardin;2;jar-din;j;1;syl-seg2|syl-fusion|syl-compare;;non
ballon;2;ba-llon;b;1;syl-seg2|syl-fusion|syl-compare;bonbon|balai;non
bonbon;2;bon-bon;b;1;syl-seg2|syl-fusion|syl-compare;ballon;non
avion;2;a-vion;a;1;syl-seg2|syl-fusion|syl-compare;camion;non
camion;2;ca-mion;k;1;syl-seg2|syl-fusion|syl-compare;avion;non
fusée;2;fu-sée;f;2;syl-seg2|syl-fusion|syl-compare;;non
poupée;2;pou-pée;p;1;syl-seg2|syl-fusion|syl-compare;;non
forêt;2;fo-rêt;f;1;syl-seg2|syl-fusion|syl-compare;;non
soleil;2;so-leil;s;1;syl-seg2|syl-fusion|syl-compare;;non
nuage;2;nu-age;n;1;syl-seg2|syl-fusion|syl-compare;;oui
cerise;2;ce-rise;s;2;syl-seg2|syl-fusion|syl-compare;;oui
banane;2;ba-nane;b;1;syl-seg2|syl-fusion|syl-compare;;oui
salade;2;sa-lade;s;1;syl-seg2|syl-fusion|syl-compare;;oui
girafe;2;gi-rafe;j;2;syl-seg2|syl-fusion|syl-compare;;oui
tortue;2;tor-tue;t;1;syl-seg2|syl-fusion|syl-compare;;non
vélo;2;vé-lo;v;1;syl-seg2|syl-fusion|syl-compare;moto;non
moto;2;mo-to;m;1;syl-seg2|syl-fusion|syl-compare;vélo;non
tomate;2;to-mate;t;1;syl-seg2|syl-fusion|syl-compare;moto;oui
montagne;2;mon-tagne;m;1;syl-seg2|syl-fusion|syl-compare;;oui
rivière;2;ri-vière;r;1;syl-seg2|syl-fusion|syl-compare;;oui
orage;2;o-rage;o;2;syl-seg2|syl-fusion|syl-compare;nuage;oui
éléphant;3;é-lé-phant;é;1;syl-seg3|syl-fusion|syl-manip;;non
papillon;3;pa-pi-llon;p;1;syl-seg3|syl-fusion|syl-manip;pantalon;non
chocolat;3;cho-co-lat;ch;1;syl-seg3|syl-fusion|syl-manip;;non
pantalon;3;pan-ta-lon;p;1;syl-seg3|syl-fusion|syl-manip;papillon;non
hérisson;3;hé-ri-sson;é;2;syl-seg3|syl-fusion|syl-manip;;non
escargot;3;es-car-got;è;1;syl-seg3|syl-fusion|syl-manip;;non
champignon;3;cham-pi-gnon;ch;2;syl-seg3|syl-fusion|syl-manip;;non
parapluie;3;pa-ra-pluie;p;1;syl-seg3|syl-fusion|syl-manip;;non
pyjama;3;py-ja-ma;p;1;syl-seg3|syl-fusion|syl-manip;;non
kangourou;3;kan-gou-rou;k;2;syl-seg3|syl-fusion|syl-manip;;non
caramel;3;ca-ra-mel;k;2;syl-seg3|syl-fusion|syl-manip;;non
domino;3;do-mi-no;d;2;syl-seg3|syl-fusion|syl-manip;;non
lavabo;3;la-va-bo;l;2;syl-seg3|syl-fusion|syl-manip;;non
cinéma;3;ci-né-ma;s;2;syl-seg3|syl-fusion|syl-manip;;non
toboggan;3;to-bo-ggan;t;2;syl-seg3|syl-fusion|syl-manip;;non
abricot;3;a-bri-cot;a;2;syl-seg3|syl-fusion|syl-manip;haricot;non
ananas;3;a-na-nas;a;2;syl-seg3|syl-fusion|syl-manip;;non
haricot;3;ha-ri-cot;a;2;syl-seg3|syl-fusion|syl-manip;abricot;non
canapé;3;ca-na-pé;k;2;syl-seg3|syl-fusion|syl-manip;;non
cheminée;3;che-mi-née;ch;2;syl-seg3|syl-fusion|syl-manip;;non
